,column,description
0,county,Geographic Area common name
3,pop,Population Estimate for the given time range
4,hispanic,Estimate for the Hispanic Population
5,white_nh,"Estimate for the White, Non-Hispanic Population"
6,black_nh,"Estimate for the Black, Non-Hispanic Population"
7,ntvam_nh,"Estimate for the Native American, Non-Hispanic Population"
8,asian_nh,"Estimate for the Asian, Non-Hispanic Population"
9,hawpi_nh,"Estimate for the Hawaiian and Pacific Islander, Non-Hispanic Population"
10,other_nh,Estimate for the population of those identifying with any other race (Non-Hispanic)
11,twoplus_nh,Estimate for the population who identifies with more than one race (Non-Hispanic)
12,male,Estimate for the total male population
13,female,Estimate for the total female population
14,ageless5,Estimate for the total population less than 5 years of age (0 to 5)
15,age5_9,Estimate for the total population from 5 to 9 years of age
16,age10_14,Estimate for the total population from 10 to 14 years of age
17,age15_19,Estimate for the total population from 15 to 19 years of age
18,age20_24,Estimate for the total population from 20 to 24 years of age
19,age25_29,Estimate for the total population from 25 to 29 years of age
20,age30_34,Estimate for the total population from 30 to 34 years of age
21,age35_39,Estimate for the total population from 35 to 39 years of age
22,age40_44,Estimate for the total population from 40 to 45 years of age
23,age45_49,Estimate for the total population from 45 to 49 years of age
24,age50_54,Estimate for the total population from 50 to 54 years of age
25,age55_59,Estimate for the total population from 55 to 59 years of age
26,age60_64,Estimate for the total population from 60 to 64 years of age
27,age65_69,Estimate for the total population from 65 to 69 years of age
28,age70_74,Estimate for the total population from 70 to 74 years of age
29,age75_79,Estimate for the total population from 75 to 79 years of age
30,age80_84,Estimate for the total population from 80 to 84 years of age
31,age85pl,Estimate for the total population of 85 years of age or older
32,ageless18,Estimate for the total population less than 18 years of age (0 to 17)
33,age18_24,Estimate for the total population from 18 to 24 years of age
34,med_age,Median age of the population for the area
35,households,Estimate for the total number of household
36,familyhh,Estimate for the total number of family household
37,nonfamhh,Estimate for the total number of nonfamily household
38,hhldralone,Estimate for the total number of nonfamily households where householder lives alone
39,hhldr_naln,Estimate for the total number of nonfamily households where householder does not live alone
40,housing_un,Estimated total number of housing units
41,occ_hu,Estimated number of occupied housing units
