column,description
county,Geographic Area common name
pop,Population Estimate for the given time range
hispanic,Estimate for the Hispanic Population
white_nh,"Estimate for the White, Non-Hispanic Population"
black_nh,"Estimate for the Black, Non-Hispanic Population"
ntvam_nh,"Estimate for the Native American, Non-Hispanic Population"
asian_nh,"Estimate for the Asian, Non-Hispanic Population"
hawpi_nh,"Estimate for the Hawaiian and Pacific Islander, Non-Hispanic Population"
other_nh,Estimate for the population of those identifying with any other race (Non-Hispanic)
twoplus_nh,Estimate for the population who identifies with more than one race (Non-Hispanic)
male,Estimate for the total male population
female,Estimate for the total female population
ageless5,Estimate for the total population less than 5 years of age (0 to 5)
age5_9,Estimate for the total population from 5 to 9 years of age
age10_14,Estimate for the total population from 10 to 14 years of age
age15_19,Estimate for the total population from 15 to 19 years of age
age20_24,Estimate for the total population from 20 to 24 years of age
age25_29,Estimate for the total population from 25 to 29 years of age
age30_34,Estimate for the total population from 30 to 34 years of age
age35_39,Estimate for the total population from 35 to 39 years of age
age40_44,Estimate for the total population from 40 to 45 years of age
age45_49,Estimate for the total population from 45 to 49 years of age
age50_54,Estimate for the total population from 50 to 54 years of age
age55_59,Estimate for the total population from 55 to 59 years of age
age60_64,Estimate for the total population from 60 to 64 years of age
age65_69,Estimate for the total population from 65 to 69 years of age
age70_74,Estimate for the total population from 70 to 74 years of age
age75_79,Estimate for the total population from 75 to 79 years of age
age80_84,Estimate for the total population from 80 to 84 years of age
age85pl,Estimate for the total population of 85 years of age or older
ageless18,Estimate for the total population less than 18 years of age (0 to 17)
age18_24,Estimate for the total population from 18 to 24 years of age
med_age,Median age of the population for the area
households,Estimate for the total number of household
familyhh,Estimate for the total number of family household
nonfamhh,Estimate for the total number of nonfamily household
hhldralone,Estimate for the total number of nonfamily households where householder lives alone
hhldr_naln,Estimate for the total number of nonfamily households where householder does not live alone
housing_un,Estimated total number of housing units
occ_hu,Estimated number of occupied housing units
vac_hu,Estimated number of vacant housing units
owned,Estimated number of owner-occupied housing units
rented,Estimated number of renter-occupied housing units
pop25plus,Estimated total population 25 years or older (universe for educational attainment)
nohsdipl,Estimated population 25 years or older that does not have a high school diploma or equivalent (GED) level of education
hsgrad_sc,Estimated population 25 years or older that has a high school level of education (or equivalent) or higher education (some college) but did not achieve a bachelors degree or higher
bachl_hghr,"Estimated total population 25 years or older with a Bachelors Degree, Masters Degree, Phd or other Professional Degree"
med_hh_inc,Estimated median household income
med_fam_in,Estimated median family income
per_cap_in,Estimated per capita income
med_yr_blt,median year structure built
med_c_rent,Estimated median contract rent
med_g_rent,Estimated median gross rent
med_hm_val,Estimated median home value
citz_birth,Estimated total population that is a US Citizen by birth
citz_nat,Estimated total population that is a US Citizen by Naturalization
not_citz,Estimated total population that is not a US Citizen
born_in_co,Estimated total population that was born in Colorado
brn_oth_st,Estimated total population that was born in a state other than Colorado
