year,county,total,male,female,over18,under19,under19_male,under19_female,over18_male,over18_female
1990.0,ADAMS,265709.0,131902.0,133807.0,184665.0,81044.0,41519.0,39525.0,90383.0,94282.0
1990.0,ALAMOSA,13617.0,6677.0,6940.0,9311.0,4306.0,2189.0,2117.0,4488.0,4823.0
1990.0,ARAPAHOE,393289.0,191722.0,201567.0,281301.0,111988.0,57241.0,54747.0,134481.0,146820.0
1990.0,ARCHULETA,5352.0,2725.0,2627.0,3709.0,1643.0,890.0,753.0,1835.0,1874.0
1990.0,BACA,4556.0,2244.0,2312.0,3360.0,1196.0,597.0,599.0,1647.0,1713.0
1990.0,BENT,5048.0,2619.0,2429.0,3648.0,1400.0,699.0,701.0,1920.0,1728.0
1990.0,BOULDER,226022.0,113265.0,112757.0,169736.0,56286.0,28801.0,27485.0,84464.0,85272.0
1990.0,BROOMFIELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990.0,CHAFFEE,12684.0,6805.0,5879.0,9645.0,3039.0,1641.0,1398.0,5164.0,4481.0
1990.0,CHEYENNE,2397.0,1222.0,1175.0,1623.0,774.0,417.0,357.0,805.0,818.0
1990.0,CLEAR CREEK,7619.0,3949.0,3670.0,5558.0,2061.0,1082.0,979.0,2867.0,2691.0
1990.0,CONEJOS,7453.0,3715.0,3738.0,4764.0,2689.0,1359.0,1330.0,2356.0,2408.0
1990.0,COSTILLA,3190.0,1583.0,1607.0,2248.0,942.0,474.0,468.0,1109.0,1139.0
1990.0,CROWLEY,3946.0,2462.0,1484.0,3085.0,861.0,477.0,384.0,1985.0,1100.0
1990.0,CUSTER,1926.0,972.0,954.0,1386.0,540.0,303.0,237.0,669.0,717.0
1990.0,DELTA,20980.0,10352.0,10628.0,15586.0,5394.0,2817.0,2577.0,7535.0,8051.0
1990.0,DENVER,467856.0,227631.0,240225.0,358982.0,108874.0,55743.0,53131.0,171888.0,187094.0
1990.0,DOLORES,1504.0,766.0,738.0,1073.0,431.0,233.0,198.0,533.0,540.0
1990.0,DOUGLAS,61562.0,30884.0,30678.0,41773.0,19789.0,10254.0,9535.0,20630.0,21143.0
1990.0,EAGLE,22106.0,11652.0,10454.0,16198.0,5908.0,3028.0,2880.0,8624.0,7574.0
1990.0,EL PASO,397889.0,199773.0,198116.0,282059.0,115830.0,59487.0,56343.0,140286.0,141773.0
1990.0,ELBERT,9746.0,4870.0,4876.0,6615.0,3131.0,1576.0,1555.0,3294.0,3321.0
1990.0,FREMONT,32221.0,16736.0,15485.0,24557.0,7664.0,3947.0,3717.0,12789.0,11768.0
1990.0,GARFIELD,30149.0,15367.0,14782.0,21408.0,8741.0,4550.0,4191.0,10817.0,10591.0
1990.0,GILPIN,3070.0,1624.0,1446.0,2301.0,769.0,422.0,347.0,1202.0,1099.0
1990.0,GRAND,7967.0,4224.0,3743.0,5847.0,2120.0,1120.0,1000.0,3104.0,2743.0
1990.0,GUNNISON,10273.0,5449.0,4824.0,7753.0,2520.0,1270.0,1250.0,4179.0,3574.0
1990.0,HINSDALE,467.0,245.0,222.0,377.0,90.0,47.0,43.0,198.0,179.0
1990.0,HUERFANO,6009.0,2934.0,3075.0,4381.0,1628.0,851.0,777.0,2083.0,2298.0
1990.0,JACKSON,1605.0,854.0,751.0,1174.0,431.0,228.0,203.0,626.0,548.0
1990.0,JEFFERSON,439886.0,217094.0,222792.0,317399.0,122487.0,62829.0,59658.0,154265.0,163134.0
1990.0,KIOWA,1688.0,831.0,857.0,1189.0,499.0,244.0,255.0,587.0,602.0
1990.0,KIT CARSON,7140.0,3533.0,3607.0,4983.0,2157.0,1134.0,1023.0,2399.0,2584.0
1990.0,LA PLATA,32466.0,16336.0,16130.0,23484.0,8982.0,4630.0,4352.0,11706.0,11778.0
1990.0,LAKE,6007.0,3100.0,2907.0,4235.0,1772.0,905.0,867.0,2195.0,2040.0
1990.0,LARIMER,187078.0,92538.0,94540.0,136294.0,50784.0,26050.0,24734.0,66488.0,69806.0
1990.0,LAS ANIMAS,13765.0,6715.0,7050.0,10013.0,3752.0,1960.0,1792.0,4755.0,5258.0
1990.0,LINCOLN,4715.0,2309.0,2406.0,3411.0,1304.0,683.0,621.0,1626.0,1785.0
1990.0,LOGAN,17491.0,8521.0,8970.0,12529.0,4962.0,2550.0,2412.0,5971.0,6558.0
1990.0,MESA,93572.0,45389.0,48183.0,66981.0,26591.0,13552.0,13039.0,31837.0,35144.0
1990.0,MINERAL,558.0,288.0,270.0,430.0,128.0,66.0,62.0,222.0,208.0
1990.0,MOFFAT,11357.0,5743.0,5614.0,7523.0,3834.0,1982.0,1852.0,3761.0,3762.0
1990.0,MONTEZUMA,18672.0,9088.0,9584.0,12568.0,6104.0,3141.0,2963.0,5947.0,6621.0
1990.0,MONTROSE,24563.0,11992.0,12571.0,17520.0,7043.0,3627.0,3416.0,8365.0,9155.0
1990.0,MORGAN,22073.0,10809.0,11264.0,15252.0,6821.0,3408.0,3413.0,7401.0,7851.0
1990.0,OTERO,20185.0,9736.0,10449.0,14049.0,6136.0,3176.0,2960.0,6560.0,7489.0
1990.0,OURAY,2295.0,1157.0,1138.0,1707.0,588.0,314.0,274.0,843.0,864.0
1990.0,PARK,7260.0,3717.0,3543.0,5194.0,2066.0,1075.0,991.0,2642.0,2552.0
1990.0,PHILLIPS,4189.0,1986.0,2203.0,3054.0,1135.0,557.0,578.0,1429.0,1625.0
1990.0,PITKIN,12661.0,6651.0,6010.0,10434.0,2227.0,1151.0,1076.0,5500.0,4934.0
1990.0,PROWERS,13240.0,6442.0,6798.0,8890.0,4350.0,2195.0,2155.0,4247.0,4643.0
1990.0,PUEBLO,122886.0,59432.0,63454.0,88562.0,34324.0,17439.0,16885.0,41993.0,46569.0
1990.0,RIO BLANCO,6063.0,3073.0,2990.0,4129.0,1934.0,995.0,939.0,2078.0,2051.0
1990.0,RIO GRANDE,10770.0,5311.0,5459.0,7358.0,3412.0,1748.0,1664.0,3563.0,3795.0
1990.0,ROUTT,14169.0,7560.0,6609.0,10396.0,3773.0,2034.0,1739.0,5526.0,4870.0
1990.0,SAGUACHE,4619.0,2363.0,2256.0,3088.0,1531.0,824.0,707.0,1539.0,1549.0
1990.0,SAN JUAN,745.0,415.0,330.0,511.0,234.0,129.0,105.0,286.0,225.0
1990.0,SAN MIGUEL,3723.0,1983.0,1740.0,2845.0,878.0,441.0,437.0,1542.0,1303.0
1990.0,SEDGWICK,2690.0,1313.0,1377.0,2008.0,682.0,346.0,336.0,967.0,1041.0
1990.0,SUMMIT,12926.0,7038.0,5888.0,10158.0,2768.0,1396.0,1372.0,5642.0,4516.0
1990.0,TELLER,12471.0,6338.0,6133.0,8719.0,3752.0,2000.0,1752.0,4338.0,4381.0
1990.0,WASHINGTON,4812.0,2394.0,2418.0,3464.0,1348.0,684.0,664.0,1710.0,1754.0
1990.0,WELD,131964.0,65179.0,66785.0,92319.0,39645.0,20211.0,19434.0,44968.0,47351.0
1990.0,YUMA,8954.0,4384.0,4570.0,6261.0,2693.0,1397.0,1296.0,2987.0,3274.0
1991.0,ADAMS,273620.0,136193.0,137427.0,190327.0,83293.0,42667.0,40626.0,93526.0,96801.0
1991.0,ALAMOSA,13641.0,6701.0,6940.0,9362.0,4279.0,2185.0,2094.0,4516.0,4846.0
1991.0,ARAPAHOE,403200.0,196816.0,206384.0,288608.0,114592.0,58607.0,55985.0,138209.0,150399.0
1991.0,ARCHULETA,5624.0,2858.0,2766.0,3928.0,1696.0,915.0,781.0,1943.0,1985.0
1991.0,BACA,4438.0,2189.0,2249.0,3275.0,1163.0,585.0,578.0,1604.0,1671.0
1991.0,BENT,4965.0,2604.0,2361.0,3605.0,1360.0,680.0,680.0,1924.0,1681.0
1991.0,BOULDER,230977.0,115876.0,115101.0,173535.0,57442.0,29373.0,28069.0,86503.0,87032.0
1991.0,BROOMFIELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991.0,CHAFFEE,12866.0,6894.0,5972.0,9831.0,3035.0,1631.0,1404.0,5263.0,4568.0
1991.0,CHEYENNE,2477.0,1261.0,1216.0,1682.0,795.0,426.0,369.0,835.0,847.0
1991.0,CLEAR CREEK,7663.0,3972.0,3691.0,5625.0,2038.0,1066.0,972.0,2906.0,2719.0
1991.0,CONEJOS,7535.0,3754.0,3781.0,4839.0,2696.0,1363.0,1333.0,2391.0,2448.0
1991.0,COSTILLA,3264.0,1620.0,1644.0,2311.0,953.0,481.0,472.0,1139.0,1172.0
1991.0,CROWLEY,3974.0,2501.0,1473.0,3119.0,855.0,470.0,385.0,2031.0,1088.0
1991.0,CUSTER,2010.0,1018.0,992.0,1455.0,555.0,311.0,244.0,707.0,748.0
1991.0,DELTA,21227.0,10499.0,10728.0,15780.0,5447.0,2844.0,2603.0,7655.0,8125.0
1991.0,DENVER,475184.0,232315.0,242869.0,364661.0,110523.0,56618.0,53905.0,175697.0,188964.0
1991.0,DOLORES,1432.0,730.0,702.0,1032.0,400.0,217.0,183.0,513.0,519.0
1991.0,DOUGLAS,66688.0,33439.0,33249.0,45218.0,21470.0,11106.0,10364.0,22333.0,22885.0
1991.0,EAGLE,23459.0,12425.0,11034.0,17255.0,6204.0,3184.0,3020.0,9241.0,8014.0
1991.0,EL PASO,405951.0,203827.0,202124.0,287803.0,118148.0,60715.0,57433.0,143112.0,144691.0
1991.0,ELBERT,10267.0,5135.0,5132.0,6980.0,3287.0,1656.0,1631.0,3479.0,3501.0
1991.0,FREMONT,32236.0,16961.0,15275.0,24652.0,7584.0,3903.0,3681.0,13058.0,11594.0
1991.0,GARFIELD,31228.0,15928.0,15300.0,22191.0,9037.0,4697.0,4340.0,11231.0,10960.0
1991.0,GILPIN,3091.0,1635.0,1456.0,2328.0,763.0,416.0,347.0,1219.0,1109.0
1991.0,GRAND,8391.0,4448.0,3943.0,6198.0,2193.0,1154.0,1039.0,3294.0,2904.0
1991.0,GUNNISON,10413.0,5535.0,4878.0,7917.0,2496.0,1261.0,1235.0,4274.0,3643.0
1991.0,HINSDALE,449.0,236.0,213.0,363.0,86.0,45.0,41.0,191.0,172.0
1991.0,HUERFANO,6060.0,2999.0,3061.0,4456.0,1604.0,836.0,768.0,2163.0,2293.0
1991.0,JACKSON,1560.0,823.0,737.0,1140.0,420.0,217.0,203.0,606.0,534.0
1991.0,JEFFERSON,449663.0,222141.0,227522.0,325121.0,124542.0,63920.0,60622.0,158221.0,166900.0
1991.0,KIOWA,1682.0,835.0,847.0,1188.0,494.0,244.0,250.0,591.0,597.0
1991.0,KIT CARSON,7156.0,3568.0,3588.0,5013.0,2143.0,1127.0,1016.0,2441.0,2572.0
1991.0,LA PLATA,33411.0,16834.0,16577.0,24292.0,9119.0,4697.0,4422.0,12137.0,12155.0
1991.0,LAKE,6136.0,3185.0,2951.0,4332.0,1804.0,926.0,878.0,2259.0,2073.0
1991.0,LARIMER,193546.0,95861.0,97685.0,141397.0,52149.0,26744.0,25405.0,69117.0,72280.0
1991.0,LAS ANIMAS,13816.0,6742.0,7074.0,10073.0,3743.0,1949.0,1794.0,4793.0,5280.0
1991.0,LINCOLN,5432.0,2716.0,2716.0,3944.0,1488.0,778.0,710.0,1938.0,2006.0
1991.0,LOGAN,17499.0,8616.0,8883.0,12564.0,4935.0,2534.0,2401.0,6082.0,6482.0
1991.0,MESA,95990.0,46613.0,49377.0,68926.0,27064.0,13798.0,13266.0,32815.0,36111.0
1991.0,MINERAL,571.0,294.0,277.0,440.0,131.0,68.0,63.0,226.0,214.0
1991.0,MOFFAT,11453.0,5809.0,5644.0,7641.0,3812.0,1975.0,1837.0,3834.0,3807.0
1991.0,MONTEZUMA,19062.0,9290.0,9772.0,12921.0,6141.0,3166.0,2975.0,6124.0,6797.0
1991.0,MONTROSE,25272.0,12352.0,12920.0,18039.0,7233.0,3724.0,3509.0,8628.0,9411.0
1991.0,MORGAN,22703.0,11152.0,11551.0,15657.0,7046.0,3533.0,3513.0,7619.0,8038.0
1991.0,OTERO,20374.0,9846.0,10528.0,14229.0,6145.0,3183.0,2962.0,6663.0,7566.0
